expert_id,exper_name,rating,count
926,suresh mahadevan,62.9078098913,203,
675,pratik gupta,62.858892817,14,
148,aviral gupta,62.8571428571,7,
224,deepesh pandey,62.8571428571,7,
504,manish sonthalia,62.8571428571,21,
830,sanjay chawla,62.8571428571,14,
922,sunil singhania,62.8571428571,7,
872,sharmila joshi,62.8104140039,605,
612,nirmal jain,62.7979980219,109,
196,chris wood,62.7777777778,108,
706,rahul singh,62.7777777778,36,
18,abhishek agarwal,62.7227319604,75,
626,nooresh merani,62.7119977185,401,
121,arvind bothra,62.6666666667,15,
948,tirthankar patnaik,62.5419614996,126,
81,andrew freris,62.5,8,
116,arnab das,62.5,8,
152,basant maheshwari,62.5,8,
171,bino pathiparampil,62.5,24,
188,chintan j mehta,62.5,8,
362,inderjeet singh bhatia,62.5,8,
385,jaspreet singh arora,62.5,8,
519,mark matthews,62.5,48,
928,suruchi jain,62.5,8,
532,mehraboon irani,62.4818839276,381,
35,adrian mowat,62.4761904762,105,
31,aditya agarwal,62.4676138879,174,
459,kunj bansal,62.4391254203,82,
378,james glassman,62.4329563213,33,
228,devang mehta,62.3663832573,355,
76,anand tandon,62.3654352877,178,
48,akshata deshmukh,62.2955963463,60,
794,sacchitanand uttekar of motilal oswal financial se,62.2793617496,37,
539,michael kurtz,62.228063855,27,
430,kapil singh,62.2222222222,9,
556,monal desai,62.2222222222,54,
609,nirav sheth,62.2222222222,9,
614,nischint chawathe,62.2222222222,18,
773,rohit ahuja,62.2222222222,9,
1002,vishal malkan,62.1750378334,156,
749,richard gibbs,62.1440377804,66,
939,tarang bhanushali,62.1428571429,28,
652,phani sekhar,62.0667746504,608,
64,amit harchekar,62.029112513,427,
280,fitch ratings,61.9938494077,191,
584,neeraj deewan,61.9607843137,102,
486,manav chopra,61.9568750119,146,
239,dhiraj agarwal,61.9242281039,21,
236,dharmesh kant,61.9230769231,52,
503,manish singh,61.9047619048,21,
684,priya sheth,61.9047619048,21,
850,sanju verma,61.8966515191,55,
234,dhananjay sinha,61.8931184737,74,
62,amit dalal,61.875,32,
946,tim ghriskey,61.8604651163,43,
298,gautam sinha roy,61.8518518519,54,
34,adrian foster,61.8181818182,22,
655,pn vijay,61.7556293434,291,
289,gaurang shah,61.7394759632,126,
793,sacchitanand uttekar,61.7391304348,23,
679,prayesh jain,61.7030909923,87,
827,sandip sabharwal,61.6873185615,107,
994,vineet bhatnagar,61.6610407876,60,
665,prakash diwan,61.5803288657,493,
237,dharmesh mehta,61.5445229115,13,
16,abhineet anand,61.5384615385,13,
478,mahantesh sabarad,61.5222066386,92,
1000,vishal jajoo,61.5117821872,64,
156,benoit anne,61.3793103448,29,
153,basudeb banerjee,61.3726919037,30,
514,manpreet gill,61.3333333333,15,
992,vinay khattar,61.3333333333,15,
731,ramin nakisa,61.25,16,
831,sanjay dutt,61.2239286949,161,
974,vibhor singhal,61.1764705882,17,
908,sudip bandopadhyay,61.1430874019,36,
785,russell napier,61.1111111111,18,
330,harendra kumar,61.0993099832,91,
909,sudip bandyopadhyay,61.0799841713,121,
571,nandan chakraborty,61.0554127241,38,
641,pathik gandotra,60.9049660836,28,
636,parag doctor,60.8160349913,168,
846,sanjeev zarbade,60.8097644053,26,
438,kawaljeet saluja,60.7407407407,27,
528,mayuresh joshi,60.6840425165,565,
409,john woods,60.6451612903,31,
842,sanjeev agarwal,60.6006834635,72,
401,jitendra panda,60.5884146789,138,
180,bruno verstrate,60.5714928949,35,
696,radha ballabh mishra,60.5504587156,109,
639,paras bothra,60.5,40,
40,ajay jain,60.454475519,518,
251,dipan mehta,60.4338567042,415,
371,jagannadham thunuguntla,60.3307306161,142,
229,devangshu datta,60.2461316246,39,
711,rajat bose,60.1853192098,465,
181,ca rudramurthy bv,60.1803180964,96,
548,mithil pradhan,60.0380145956,107,
947,timothy moe,60.019139522,24,
419,juerg kiener,60.0062853551,12,
1,a balasubramanian,60,1,
6,aakash prakash,60,5,
7,aashiesh agarwaal,60,1,
25,abhishek shindadkar,60,2,
26,abhishek singhal,60,1,
29,adarsh parasrampuria,60,1,
41,ajay shethia,60,1,
50,alastair newton,60,1,
51,alok ramachandran,60,1,
55,amay hattangadi,60,1,
58,ambrish mishra,60,4,
59,amish shah,60,2,
70,amit tripathi,60,1,
74,anand bagaria,60,2,
75,anand mour,60,1,
77,ananda bhoumik,60,1,
83,andrew lill,60,2,
88,anil jindal,60,1,
96,anisha damania,60,1,
103,anshul bhargava,60,1,
118,arun aggarwal,60,3,
127,ashish jagnani,60,1,
130,ashish kejriwal,60,2,
132,ashish nigam,60,1,
146,avinash gupta,60,1,
147,avinash persaud,60,1,
150,ayaz ebrahim,60,3,
155,benjamin cavender,60,1,
157,bertrand d'souza,60,1,
162,bhaskar chakraborty,60,2,
167,bill gross,60,1,
168,bill maldona,60,1,
169,bill o'neill,60,1,
172,bobby parikh,60,1,
177,brian jacobsen,60,1,
190,chirag talati,60,3,
192,chris hohn,60,1,
193,chris main,60,1,
195,chris turner,60,1,
198,christopher wood,60,8,
208,danny suwanapruti,60,1,
216,david yarrow,60,1,
219,deborah yang,60,1,
220,deena mehta,60,13,
222,deepak purswani,60,1,
225,dennis m nally,60,1,
226,dennis nally,60,1,
227,dennis tan,60,2,
244,dhruva chatterji,60,2,
245,dhvani modi,60,1,
249,dinesh kumar,60,4,
252,dipankar choudhury,60,1,
258,don baer,60,1,
259,durgesh shah,60,1,
268,eric chaney,60,1,
269,erwin sanft,60,1,
271,ewen cameron,60,1,
274,fan cheukwan,60,1,
277,farhan a mumtaz,60,2,
282,frances dydasco,60,1,
283,g chokkalingam,60,1,
285,ganeshram jayaraman,60,2,
293,gaurav pathak,60,1,
294,gaurav ratnaparkhi,60,1,
302,george hoguet,60,2,
315,govind agarwal,60,9,
316,govind parikh,60,1,
318,grace tam,60,1,
319,grant kennaway,60,1,
322,guy foster,60,1,
326,h nemkumar,60,7,
328,hans rademaker,60,1,
331,harit shah,60,1,
336,haywood kelly,60,1,
341,hemant kanawala,60,1,
345,henry mcvey,60,1,
347,himanshu nayyar,60,2,
355,i. v. subramaniam,60,1,
359,ifci financial,60,1,
368,ismael pili,60,1,
369,iv subramaniam,60,5,
376,jal irani,60,24,
379,james roy,60,1,
381,jan hatzius,60,1,
384,jason todd,60,3,
396,jim o'neill,60,8,
397,jim reid,60,1,
404,joe bell,60,11,
405,johanna chua,60,1,
415,jordan kotick,60,1,
417,joyce chang,60,1,
423,k subramanayam,60,1,
424,kajal gandhi,60,12,
425,kaku nakhate,60,1,
426,kalpana morparia,60,1,
427,kalpesh makwana,60,2,
432,karan uberoi,60,1,
433,karin finkelston,60,1,
434,karthik rangappa,60,1,
437,katalin gingold,60,1,
442,kiran jadhav,60,1,
457,kunal shah,60,3,
460,lakshmikant reddy,60,6,
465,laura acres,60,1,
472,luke spajic,60,1,
474,madhu babu,60,2,
477,magnus bocker,60,2,
480,mahesh patil,60,3,
487,mangal keshav,60,1,
488,mangalam maloo,60,3,
499,manish ostwal,60,1,
502,manish sharma,60,2,
507,manoj behera of phillipcapital,60,2,
509,manoj ladwa,60,1,
513,manoj rane,60,1,
